Nome,Preço,Site,Categoria,URL,Data
"Hardware Hardware Geral 1","R$ 47,77","Kabum","Hardware Geral","https://www.kabum.com.br/hardware","21/07/2025, 10:49:23"
"Hardware Hardware Geral 2","R$ 36,36","Kabum","Hardware Geral","https://www.kabum.com.br/hardware","21/07/2025, 10:49:23"
"Hardware Hardware Geral 3","R$ 27,47","Kabum","Hardware Geral","https://www.kabum.com.br/hardware","21/07/2025, 10:49:23"
"Memória RAM DDR4 8GB Kingston","R$ 17,99","Kabum","Memória RAM","https://www.kabum.com.br/hardware/memoria-ram","21/07/2025, 10:49:23"
"Memória RAM DDR4 16GB Corsair","R$ 23339,99","Kabum","Memória RAM","https://www.kabum.com.br/hardware/memoria-ram","21/07/2025, 10:49:23"
"Memória RAM DDR4 32GB HyperX","R$ 17,00","Kabum","Memória RAM","https://www.kabum.com.br/hardware/memoria-ram","21/07/2025, 10:49:23"
"Processador Intel Core i5 12400F","R$ 15,44","Kabum","Processadores","https://www.kabum.com.br/hardware/processadores","21/07/2025, 10:49:23"
"Processador AMD Ryzen 5 5600X","R$ 52941,16","Kabum","Processadores","https://www.kabum.com.br/hardware/processadores","21/07/2025, 10:49:23"
"Processador Intel Core i7 13700F","R$ 15,00","Kabum","Processadores","https://www.kabum.com.br/hardware/processadores","21/07/2025, 10:49:23"
"SSD Kingston NV2 480GB","R$ 12985,56","Kabum","SSD","https://www.kabum.com.br/hardware/ssd-2-5","21/07/2025, 10:49:23"
"SSD Samsung 980 1TB","R$ 12986,00","Kabum","SSD","https://www.kabum.com.br/hardware/ssd-2-5","21/07/2025, 10:49:23"
"SSD WD Blue 500GB","R$ 47,77","Kabum","SSD","https://www.kabum.com.br/hardware/ssd-2-5","21/07/2025, 10:49:23"
"Placa de Vídeo GTX 1660 ASUS","R$ 18,90","Kabum","Placa de Vídeo","https://www.kabum.com.br/hardware/placa-de-video-vga","21/07/2025, 10:49:23"
"Placa de Vídeo RTX 4060 MSI","R$ 18,00","Kabum","Placa de Vídeo","https://www.kabum.com.br/hardware/placa-de-video-vga","21/07/2025, 10:49:23"
"Placa de Vídeo RX 6600 Gigabyte","R$ 168,31","Kabum","Placa de Vídeo","https://www.kabum.com.br/hardware/placa-de-video-vga","21/07/2025, 10:49:23"
"SSD Kingston NV2 480GB","R$ 12985,56","Kabum","SSD Busca","https://www.kabum.com.br/busca/ssd","21/07/2025, 10:49:23"
"SSD Samsung 980 1TB","R$ 12986,00","Kabum","SSD Busca","https://www.kabum.com.br/busca/ssd","21/07/2025, 10:49:23"
"SSD WD Blue 500GB","R$ 47,77","Kabum","SSD Busca","https://www.kabum.com.br/busca/ssd","21/07/2025, 10:49:23"
